Momentum	Rate	Nodes	Iterations	trainPctCorrect	testPctCorrect	trainTime	testTime
0.2	0.3	2	216	83.40	83.40	5.87	0.00
0.2	0.3	4	208	83.00	83.00	7.92	0.00
0.2	0.3	8	213	83.28	83.28	13.28	0.00
0.2	0.3	16	222	83.52	83.52	24.86	0.00
0.2	0.3	32	215	84.20	84.20	70.41	0.00
0.2	0.3	64	215	83.92	83.92	149.53	0.00
0.2	0.3	128	230	84.32	84.32	228.43	0.00
0.2	0.3	a	223	83.84	83.84	36.80	0.00
0.2	0.4	2	209	83.64	83.64	5.41	0.00
0.2	0.4	4	212	83.20	83.20	7.97	0.00
0.2	0.4	8	217	83.36	83.36	13.69	0.00
0.2	0.4	16	222	84.00	84.00	25.17	0.00
0.2	0.4	32	210	83.72	83.72	44.49	0.00
0.2	0.4	64	212	83.64	83.64	86.87	0.00
0.2	0.4	128	216	84.08	84.08	231.60	0.00
0.2	0.4	a	223	84.16	84.16	53.09	0.00
0.3	0.3	2	214	84.00	84.00	5.73	0.00
0.3	0.3	4	217	83.24	83.24	8.27	0.00
0.3	0.3	8	216	83.36	83.36	13.52	0.00
0.3	0.3	16	225	83.64	83.64	25.27	0.00
0.3	0.3	32	225	84.92	84.92	48.31	0.00
0.3	0.3	64	216	84.24	84.24	92.77	0.00
0.3	0.3	128	218	84.68	84.68	196.57	0.00
0.3	0.3	a	222	83.64	83.64	36.58	0.00
0.3	0.4	2	212	83.92	83.92	6.24	0.00
0.3	0.4	4	210	83.52	83.52	8.64	0.00
0.3	0.4	8	208	82.96	82.96	13.48	0.00
0.3	0.4	16	209	83.44	83.44	23.36	0.00
0.3	0.4	32	216	83.80	83.80	46.16	0.00
0.3	0.4	64	213	84.32	84.32	87.52	0.00
0.3	0.4	128	214	84.16	84.16	179.51	0.00
0.3	0.4	a	217	82.80	82.80	35.32	0.00
0.4	0.3	2	212	83.80	83.80	5.38	0.00
0.4	0.3	4	215	83.44	83.44	7.96	0.00
0.4	0.3	8	216	82.92	82.92	13.28	0.00
0.4	0.3	16	215	83.72	83.72	23.77	0.00
0.4	0.3	32	216	84.52	84.52	46.34	0.00
0.4	0.3	64	220	84.52	84.52	104.28	0.00
0.4	0.3	128	214	84.28	84.28	174.13	0.00
0.4	0.3	a	220	84.36	84.36	35.84	0.00
0.4	0.4	2	206	83.36	83.36	5.28	0.00
0.4	0.4	4	206	82.76	82.76	7.53	0.00
0.4	0.4	8	212	83.68	83.68	13.02	0.00
0.4	0.4	16	213	84.08	84.08	23.49	0.00
0.4	0.4	32	217	83.64	83.64	46.10	0.00
0.4	0.4	64	216	84.64	84.64	88.88	0.00
0.4	0.4	128	212	83.72	83.72	197.95	0.00
0.4	0.4	a	213	83.24	83.24	39.11	0.00
0.5	0.3	2	210	83.68	83.68	5.27	0.00
0.5	0.3	4	209	83.08	83.08	7.68	0.00
0.5	0.3	8	211	83.28	83.28	12.92	0.00
0.5	0.3	16	215	83.72	83.72	23.78	0.00
0.5	0.3	32	215	83.76	83.76	45.72	0.00
0.5	0.3	64	211	84.00	84.00	86.45	0.00
0.5	0.3	128	216	84.28	84.28	257.43	0.00
0.5	0.3	a	222	83.88	83.88	66.08	0.00
0.5	0.4	2	210	83.64	83.64	8.60	0.00
0.5	0.4	4	207	83.72	83.72	13.05	0.00
0.5	0.4	8	213	83.88	83.88	23.29	0.00
0.5	0.4	16	220	83.68	83.68	33.92	0.00
0.5	0.4	32	213	83.72	83.72	44.98	0.00
0.5	0.4	64	214	83.56	83.56	86.80	0.00
0.5	0.4	128	208	84.48	84.48	169.08	0.00
0.5	0.4	a	214	83.72	83.72	57.58	0.00
