Weighting?	K	trainPctCorrect	testPctCorrect	trainTime	testTime
1	1	100.00	89.88	0.01	0.78
1	2	93.64	85.08	0.00	0.88
1	3	91.21	84.23	0.00	0.95
1	4	89.22	83.72	0.00	0.98
1	5	88.67	83.89	0.00	1.00
1	6	87.90	83.59	0.00	1.05
1	7	87.59	83.72	0.00	1.06
1	8	87.00	83.36	0.00	1.08
1	9	86.82	83.50	0.00	1.10
1	10	86.14	83.30	0.00	1.11
2	1	100.00	89.88	0.00	0.77
2	2	99.93	89.70	0.00	0.93
2	3	99.81	89.94	0.00	0.94
2	4	99.79	90.15	0.00	0.99
2	5	99.67	90.27	0.00	1.04
2	6	99.71	90.40	0.00	1.05
2	7	99.62	90.74	0.00	1.07
2	8	99.65	90.88	0.00	1.20
2	9	99.61	90.94	0.00	1.11
2	10	99.59	91.06	0.00	1.12
4	1	100.00	89.88	0.00	0.74
4	2	96.85	87.47	0.00	0.86
4	3	92.75	85.15	0.00	0.94
4	4	92.94	85.97	0.00	0.99
4	5	89.62	84.58	0.00	1.07
4	6	90.54	85.13	0.00	1.13
4	7	88.27	84.38	0.00	1.06
4	8	89.01	84.72	0.00	1.08
4	9	87.39	84.00	0.00	1.11
4	10	87.77	84.40	0.00	1.14
