DistanceFunc	K	trainPctCorrect	testPctCorrect	trainTime	testTime
EuclideanDistance	1	100.00	90.90	0.00	0.61
EuclideanDistance	2	93.56	86.88	0.00	0.68
EuclideanDistance	3	94.73	89.71	0.00	0.72
EuclideanDistance	4	93.18	89.33	0.00	0.74
EuclideanDistance	5	93.24	89.52	0.00	0.78
EuclideanDistance	6	92.82	89.64	0.00	0.80
EuclideanDistance	7	92.76	89.64	0.00	0.81
EuclideanDistance	8	92.43	89.14	0.00	0.84
EuclideanDistance	9	92.13	89.14	0.00	0.84
EuclideanDistance	10	91.67	89.52	0.00	0.87
ManhattanDistance	1	100.00	90.90	0.00	0.59
ManhattanDistance	2	93.56	86.88	0.00	0.66
ManhattanDistance	3	94.73	89.71	0.00	0.70
ManhattanDistance	4	93.18	89.33	0.00	0.73
ManhattanDistance	5	93.24	89.52	0.00	0.76
ManhattanDistance	6	92.82	89.64	0.00	0.78
ManhattanDistance	7	92.76	89.64	0.00	0.79
ManhattanDistance	8	92.43	89.14	0.00	0.81
ManhattanDistance	9	92.13	89.14	0.00	0.82
ManhattanDistance	10	91.67	89.52	0.00	0.85
