Weighting?,K,trainPctCorrect,testPctCorrect,trainTime,testTime
0,1,100,90.9,0,0.57
0,2,93.56,86.88,0,0.63
0,3,94.73,89.71,0,0.67
0,4,93.18,89.33,0,0.71
0,5,93.24,89.52,0,0.73
0,6,92.82,89.64,0,0.75
0,7,92.76,89.64,0,0.76
0,8,92.43,89.14,0,0.78
0,9,92.13,89.14,0,0.79
0,10,91.67,89.52,0,0.8
2,1,100,90.9,0,0.56
2,2,100,91.02,0,0.63
2,3,100,91.27,0,0.68
2,4,100,91.34,0,0.7
2,5,100,91.4,0,0.72
2,6,100,91.4,0,0.76
2,7,100,90.65,0,0.77
2,8,100,90.52,0,0.78
2,9,100,90.33,0,0.79
2,10,100,90.65,0,0.82
4,1,100,90.9,0,0.56
4,2,99.81,91.02,0,0.64
4,3,97.2,91.27,0,0.68
4,4,97.11,91.34,0,0.71
4,5,95.96,91.4,0,0.74
4,6,96.05,91.4,0,0.76
4,7,95.4,90.65,0,0.77
4,8,95.17,90.52,0,0.79
4,9,94.81,90.33,0,0.9
4,10,94.45,90.65,0,0.82
