numWeights	Invocations	NumFitness	AltNumFitness	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Optimizer
52	500	50903	24903	1.350069	0.660487	25.3	75.4	82.3	2.9	0.62	HillClimber(neighbor=ContinuousSpaceNeighbor)
52	500	40586	13425	1.099016	0.363531	25.3	73.9	83.3	8.2	0.49	Annealer(temp=1000.0,cooling=0.05,neighbor=ContinuousSpaceNeighbor,its=10.760705015763373)
52	500	40153	12614	1.105142	0.347178	25.3	72.7	82.8	10.9	0.51	Annealer(temp=1000.0,cooling=0.1,neighbor=ContinuousSpaceNeighbor,its=14.000000000000002)
52	500	40893	11747	1.121170	0.322069	25.3	72.9	82.4	10.2	0.53	Annealer(temp=1000.0,cooling=0.2,neighbor=ContinuousSpaceNeighbor,its=20.029471813027506)
52	500	43405	12219	1.182404	0.332860	25.3	73.4	82.8	9.0	0.52	Annealer(temp=1000.0,cooling=0.3,neighbor=ContinuousSpaceNeighbor,its=26.774850051504778)
52	500	46621	13112	1.262347	0.355031	25.3	73.9	81.7	7.7	0.58	Annealer(temp=1000.0,cooling=0.4,neighbor=ContinuousSpaceNeighbor,its=35.181182326248845)
52	500	49010	11720	1.331490	0.318406	25.3	73.6	83.1	8.1	0.65	Annealer(temp=1000.0,cooling=0.5,neighbor=ContinuousSpaceNeighbor,its=46.50699332842308)
52	500	55422	13247	1.508365	0.360530	25.3	73.5	80.9	8.5	0.72	Annealer(temp=1000.0,cooling=0.6,neighbor=ContinuousSpaceNeighbor,its=63.106057727213866)
52	500	64692	15559	1.762302	0.423849	25.3	73.4	82.4	8.6	0.83	Annealer(temp=1000.0,cooling=0.7,neighbor=ContinuousSpaceNeighbor,its=90.37974730138035)
52	500	83399	18905	2.264788	0.513385	25.3	73.6	80.8	8.0	1.09	Annealer(temp=1000.0,cooling=0.8,neighbor=ContinuousSpaceNeighbor,its=144.4639162192264)
52	500	136465	26586	3.678371	0.716617	25.3	74.2	80.8	6.3	1.77	Annealer(temp=1000.0,cooling=0.9,neighbor=ContinuousSpaceNeighbor,its=305.96083457495973)
